latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
30.685411,104.11556,502.0,28800,Asia/Shanghai,GMT+8

time,temperature_2m (°C),dew_point_2m (°C),precipitation (mm),rain (mm),snowfall (cm),relative_humidity_2m (%),wind_speed_10m (km/h),wind_direction_10m (°),boundary_layer_height (m),pressure_msl (hPa),wind_gusts_10m (km/h),cloud_cover (%)
2010-01-03T00:00,4.6,4.1,0.00,0.00,0.00,97,5.1,225,45.00,1024.5,9.7,35
2010-01-03T01:00,3.9,3.7,0.00,0.00,0.00,98,5.2,214,50.00,1023.6,9.0,39
2010-01-03T02:00,3.5,3.2,0.00,0.00,0.00,98,5.2,205,55.00,1022.7,6.8,38
2010-01-03T03:00,3.2,2.8,0.00,0.00,0.00,97,7.8,202,50.00,1021.7,8.3,33
2010-01-03T04:00,3.3,2.8,0.00,0.00,0.00,96,7.3,191,55.00,1020.9,9.0,24
2010-01-03T05:00,4.0,3.3,0.00,0.00,0.00,95,7.6,177,60.00,1020.1,8.3,23
2010-01-03T06:00,3.8,3.2,0.00,0.00,0.00,97,6.4,153,45.00,1020.0,6.1,99
2010-01-03T07:00,3.5,3.1,0.00,0.00,0.00,97,5.4,143,90.00,1020.5,5.0,100
2010-01-03T08:00,3.2,3.0,0.00,0.00,0.00,98,5.8,112,60.00,1020.6,4.7,100
2010-01-03T09:00,3.0,2.7,0.00,0.00,0.00,98,4.0,95,90.00,1020.6,6.5,100
2010-01-03T10:00,5.0,3.5,0.00,0.00,0.00,90,3.4,108,135.00,1020.8,11.9,99
2010-01-03T11:00,6.8,3.8,0.00,0.00,0.00,81,4.3,114,215.00,1020.6,15.5,100
2010-01-03T12:00,8.5,3.8,0.00,0.00,0.00,72,5.6,105,420.00,1019.2,17.3,100
2010-01-03T13:00,9.6,4.2,0.00,0.00,0.00,69,6.8,93,550.00,1017.7,20.2,100
2010-01-03T14:00,10.4,4.1,0.00,0.00,0.00,65,7.2,87,620.00,1016.0,21.2,81
2010-01-03T15:00,8.6,3.5,0.00,0.00,0.00,70,8.0,82,640.00,1015.2,19.1,39
2010-01-03T16:00,8.8,3.5,0.00,0.00,0.00,69,9.0,74,640.00,1015.2,19.4,50
2010-01-03T17:00,8.6,3.1,0.00,0.00,0.00,68,10.8,69,650.00,1015.7,21.2,73
2010-01-03T18:00,7.8,3.3,0.00,0.00,0.00,74,10.5,49,505.00,1016.5,22.0,90
2010-01-03T19:00,6.8,3.3,0.00,0.00,0.00,79,10.2,45,390.00,1017.6,20.2,75
2010-01-03T20:00,6.1,3.2,0.00,0.00,0.00,82,12.8,52,355.00,1018.4,20.2,84
2010-01-03T21:00,5.6,3.1,0.00,0.00,0.00,84,10.5,52,290.00,1019.0,20.2,84
2010-01-03T22:00,5.1,3.0,0.00,0.00,0.00,87,5.2,34,190.00,1019.6,18.4,64
2010-01-03T23:00,4.7,3.0,0.00,0.00,0.00,89,3.3,319,50.00,1019.5,12.6,48
2010-01-04T00:00,3.8,3.0,0.00,0.00,0.00,95,3.7,281,55.00,1019.4,11.5,27
2010-01-04T01:00,3.3,2.8,0.00,0.00,0.00,97,4.6,252,70.00,1018.9,11.2,94
2010-01-04T02:00,2.8,2.5,0.00,0.00,0.00,99,4.3,246,70.00,1018.5,10.4,94
2010-01-04T03:00,2.2,2.2,0.00,0.00,0.00,99,4.2,239,60.00,1018.1,8.3,100
2010-01-04T04:00,1.9,1.8,0.00,0.00,0.00,100,5.4,233,75.00,1017.6,9.7,100
2010-01-04T05:00,2.0,2.0,0.00,0.00,0.00,100,6.1,220,80.00,1017.5,12.2,100
2010-01-04T06:00,2.0,1.9,0.00,0.00,0.00,99,5.1,231,80.00,1017.2,12.2,100
2010-01-04T07:00,2.1,1.9,0.00,0.00,0.00,99,5.8,202,95.00,1018.4,11.2,100
2010-01-04T08:00,2.0,1.8,0.00,0.00,0.00,99,4.0,207,85.00,1019.0,10.4,100
2010-01-04T09:00,2.5,2.3,0.00,0.00,0.00,99,1.1,252,25.00,1019.1,11.5,100
2010-01-04T10:00,3.5,3.1,0.00,0.00,0.00,97,2.6,344,40.00,1019.7,11.9,100
2010-01-04T11:00,5.8,3.8,0.00,0.00,0.00,87,2.5,8,195.00,1019.6,11.9,24
2010-01-04T12:00,8.2,4.2,0.00,0.00,0.00,75,2.6,16,275.00,1018.5,13.7,24
2010-01-04T13:00,10.3,4.0,0.00,0.00,0.00,65,3.7,29,460.00,1016.7,15.8,20
2010-01-04T14:00,11.2,3.5,0.00,0.00,0.00,59,6.4,43,685.00,1015.2,18.7,15
2010-01-04T15:00,10.9,3.1,0.00,0.00,0.00,59,8.8,55,770.00,1014.2,22.3,23
2010-01-04T16:00,10.9,2.8,0.00,0.00,0.00,57,9.7,59,795.00,1013.9,23.8,20
2010-01-04T17:00,10.5,2.5,0.00,0.00,0.00,58,8.7,60,775.00,1014.0,23.8,17
2010-01-04T18:00,9.4,3.0,0.00,0.00,0.00,64,5.9,52,160.00,1014.2,20.5,20
2010-01-04T19:00,8.6,3.2,0.00,0.00,0.00,69,6.8,25,55.00,1015.3,7.6,26
2010-01-04T20:00,7.6,3.4,0.00,0.00,0.00,75,5.2,16,75.00,1016.3,7.9,41
2010-01-04T21:00,6.8,3.5,0.00,0.00,0.00,79,5.9,14,100.00,1016.6,7.9,55
2010-01-04T22:00,6.7,3.7,0.00,0.00,0.00,81,4.7,360,75.00,1017.8,8.3,59
2010-01-04T23:00,6.6,3.8,0.00,0.00,0.00,83,4.6,342,75.00,1018.3,7.2,73
2010-01-05T00:00,6.5,4.0,0.00,0.00,0.00,84,4.2,301,60.00,1018.8,8.6,83
2010-01-05T01:00,6.4,4.0,0.00,0.00,0.00,85,5.9,281,65.00,1018.6,9.0,85
2010-01-05T02:00,6.0,4.0,0.00,0.00,0.00,87,7.2,276,80.00,1018.7,9.0,87
2010-01-05T03:00,6.2,3.9,0.00,0.00,0.00,85,7.7,281,90.00,1018.5,13.7,97
2010-01-05T04:00,6.2,4.1,0.00,0.00,0.00,86,7.0,291,90.00,1018.7,14.0,99
2010-01-05T05:00,6.1,4.6,0.10,0.10,0.00,90,6.0,303,80.00,1018.8,13.0,98
2010-01-05T06:00,6.1,4.8,0.10,0.10,0.00,92,3.7,281,50.00,1018.1,11.2,97
2010-01-05T07:00,6.2,4.9,0.00,0.00,0.00,92,2.7,247,30.00,1019.0,7.9,97
2010-01-05T08:00,6.1,4.9,0.00,0.00,0.00,92,4.2,290,35.00,1019.3,7.9,84
2010-01-05T09:00,6.4,5.2,0.00,0.00,0.00,92,6.6,299,60.00,1020.1,11.5,74
2010-01-05T10:00,7.3,5.4,0.00,0.00,0.00,88,5.5,293,105.00,1020.9,13.0,63
2010-01-05T11:00,8.2,5.3,0.00,0.00,0.00,82,5.0,300,270.00,1021.6,14.4,48
2010-01-05T12:00,9.4,5.2,0.00,0.00,0.00,75,3.1,324,505.00,1020.9,16.2,41
2010-01-05T13:00,9.9,4.8,0.00,0.00,0.00,71,3.4,32,850.00,1020.1,17.6,61
2010-01-05T14:00,10.4,4.6,0.00,0.00,0.00,68,4.4,35,965.00,1018.5,18.0,96
2010-01-05T15:00,10.8,4.0,0.00,0.00,0.00,63,4.6,51,925.00,1018.4,14.0,86
2010-01-05T16:00,10.8,4.1,0.00,0.00,0.00,63,5.5,58,1000.00,1018.0,14.0,99
2010-01-05T17:00,10.7,4.0,0.00,0.00,0.00,63,5.2,56,580.00,1019.0,14.0,83
2010-01-05T18:00,10.0,4.6,0.00,0.00,0.00,69,3.3,77,210.00,1019.7,12.6,46
2010-01-05T19:00,8.9,4.8,0.00,0.00,0.00,75,5.2,78,65.00,1021.0,7.9,33
2010-01-05T20:00,8.2,5.1,0.00,0.00,0.00,81,7.2,72,105.00,1021.8,10.4,23
2010-01-05T21:00,7.4,5.3,0.00,0.00,0.00,87,6.4,74,110.00,1021.9,10.8,27
2010-01-05T22:00,6.8,5.6,0.00,0.00,0.00,92,5.8,86,65.00,1022.8,10.4,27
2010-01-05T23:00,6.2,5.6,0.00,0.00,0.00,96,6.5,90,40.00,1022.9,8.3,8
2010-01-06T00:00,6.1,5.5,0.00,0.00,0.00,96,4.6,108,25.00,1023.3,7.9,11
2010-01-06T01:00,6.3,5.8,0.00,0.00,0.00,97,3.8,163,20.00,1023.0,6.1,56
2010-01-06T02:00,5.9,5.8,0.00,0.00,0.00,99,4.5,166,25.00,1023.0,3.6,100
2010-01-06T03:00,5.6,5.5,0.00,0.00,0.00,99,4.2,160,25.00,1023.1,5.4,100
2010-01-06T04:00,5.5,5.4,0.00,0.00,0.00,99,3.4,148,40.00,1022.9,3.6,100
2010-01-06T05:00,5.6,5.4,0.00,0.00,0.00,99,3.4,148,45.00,1022.6,2.9,100
2010-01-06T06:00,5.4,5.4,0.00,0.00,0.00,100,0.7,360,15.00,1023.0,5.4,100
2010-01-06T07:00,5.4,5.3,0.00,0.00,0.00,99,2.6,106,20.00,1023.1,5.4,100
2010-01-06T08:00,5.7,5.4,0.00,0.00,0.00,99,2.9,120,100.00,1024.3,6.8,100
2010-01-06T09:00,5.8,5.6,0.00,0.00,0.00,98,3.3,131,125.00,1024.3,9.7,100
2010-01-06T10:00,6.3,5.7,0.00,0.00,0.00,95,4.1,142,160.00,1024.9,11.2,100
2010-01-06T11:00,7.2,5.8,0.00,0.00,0.00,91,4.8,138,225.00,1025.0,13.7,100
2010-01-06T12:00,8.1,5.7,0.00,0.00,0.00,84,4.7,122,290.00,1024.8,14.8,88
2010-01-06T13:00,8.8,5.4,0.00,0.00,0.00,80,5.3,118,435.00,1023.3,15.8,76
2010-01-06T14:00,9.6,5.2,0.00,0.00,0.00,74,5.5,113,525.00,1022.3,16.9,77
2010-01-06T15:00,9.1,4.5,0.00,0.00,0.00,73,5.9,101,635.00,1021.2,15.5,75
2010-01-06T16:00,9.2,4.3,0.00,0.00,0.00,71,6.5,96,695.00,1021.0,15.1,83
2010-01-06T17:00,9.1,4.3,0.00,0.00,0.00,72,6.9,81,665.00,1021.7,14.8,95
2010-01-06T18:00,8.7,4.7,0.00,0.00,0.00,76,4.5,29,275.00,1022.2,14.8,82
2010-01-06T19:00,8.2,4.9,0.00,0.00,0.00,79,4.7,360,180.00,1023.2,14.0,86
2010-01-06T20:00,7.8,5.1,0.00,0.00,0.00,83,6.6,9,145.00,1024.0,16.2,86
2010-01-06T21:00,7.4,5.1,0.00,0.00,0.00,85,7.9,24,155.00,1024.0,16.9,87
2010-01-06T22:00,7.2,5.1,0.00,0.00,0.00,87,7.2,27,155.00,1024.7,17.3,88
2010-01-06T23:00,7.0,5.0,0.00,0.00,0.00,87,7.1,30,155.00,1024.9,16.9,91
2010-01-07T00:00,6.9,4.9,0.00,0.00,0.00,87,6.6,29,160.00,1025.0,16.6,86
2010-01-07T01:00,6.7,4.9,0.00,0.00,0.00,89,5.0,21,105.00,1025.2,16.2,87
2010-01-07T02:00,6.5,4.8,0.00,0.00,0.00,89,5.4,20,95.00,1025.4,14.8,86
2010-01-07T03:00,6.1,4.8,0.00,0.00,0.00,91,5.2,16,100.00,1025.2,11.5,89
2010-01-07T04:00,5.8,4.8,0.00,0.00,0.00,93,5.5,11,100.00,1025.4,11.2,83
2010-01-07T05:00,5.7,4.7,0.00,0.00,0.00,93,5.2,12,95.00,1025.5,11.5,86
2010-01-07T06:00,5.5,4.7,0.00,0.00,0.00,95,5.8,330,70.00,1025.3,11.2,95
2010-01-07T07:00,5.5,4.7,0.00,0.00,0.00,95,4.1,315,45.00,1026.0,10.1,81
2010-01-07T08:00,5.2,4.7,0.00,0.00,0.00,97,4.1,315,40.00,1026.7,9.0,67
2010-01-07T09:00,5.7,4.6,0.00,0.00,0.00,93,2.3,288,65.00,1027.2,9.0,60
2010-01-07T10:00,6.3,4.4,0.00,0.00,0.00,88,3.0,256,150.00,1027.9,10.1,42
2010-01-07T11:00,7.7,4.2,0.00,0.00,0.00,78,5.2,236,355.00,1028.2,13.3,38
2010-01-07T12:00,8.6,4.3,0.00,0.00,0.00,75,7.9,231,535.00,1027.8,16.9,28
2010-01-07T13:00,9.4,4.4,0.00,0.00,0.00,71,9.2,219,670.00,1026.2,19.1,42
2010-01-07T14:00,10.4,3.8,0.00,0.00,0.00,64,9.2,206,720.00,1024.9,20.9,37
2010-01-07T15:00,10.4,4.2,0.00,0.00,0.00,65,7.9,196,770.00,1024.2,21.2,36
2010-01-07T16:00,10.9,3.8,0.00,0.00,0.00,62,6.5,183,795.00,1023.9,19.1,46
2010-01-07T17:00,10.5,3.5,0.00,0.00,0.00,62,4.7,180,760.00,1024.0,15.5,32
2010-01-07T18:00,10.0,3.8,0.00,0.00,0.00,65,4.7,270,190.00,1025.5,9.0,38
2010-01-07T19:00,8.9,4.1,0.00,0.00,0.00,72,4.1,218,50.00,1025.5,8.6,14
2010-01-07T20:00,8.0,4.2,0.00,0.00,0.00,77,3.9,292,50.00,1026.3,11.2,11
2010-01-07T21:00,7.4,4.2,0.00,0.00,0.00,80,5.4,290,50.00,1026.4,13.7,6
2010-01-07T22:00,7.1,4.2,0.00,0.00,0.00,82,4.7,279,45.00,1026.4,14.4,9
2010-01-07T23:00,6.8,4.2,0.00,0.00,0.00,84,5.2,258,45.00,1026.6,13.3,14
2010-01-08T00:00,6.4,4.2,0.00,0.00,0.00,86,6.2,249,40.00,1026.1,12.2,13
2010-01-08T01:00,6.0,4.2,0.00,0.00,0.00,89,7.6,245,25.00,1025.1,10.4,23
2010-01-08T02:00,5.3,4.3,0.00,0.00,0.00,94,6.6,241,20.00,1024.6,8.3,18
2010-01-08T03:00,4.0,3.6,0.00,0.00,0.00,97,7.4,231,25.00,1023.7,8.6,13
2010-01-08T04:00,3.5,3.2,0.00,0.00,0.00,98,5.6,225,25.00,1023.1,8.3,16
2010-01-08T05:00,3.2,3.0,0.00,0.00,0.00,99,6.6,221,25.00,1021.9,7.2,26
2010-01-08T06:00,3.0,2.9,0.00,0.00,0.00,99,2.3,288,20.00,1022.9,7.2,100
2010-01-08T07:00,3.1,3.0,0.00,0.00,0.00,99,1.4,270,15.00,1022.8,6.8,100
2010-01-08T08:00,3.3,3.2,0.00,0.00,0.00,99,0.7,180,15.00,1022.3,5.8,100
2010-01-08T09:00,4.0,3.5,0.00,0.00,0.00,97,1.1,162,80.00,1022.5,6.5,100
2010-01-08T10:00,6.4,4.8,0.00,0.00,0.00,90,1.5,166,50.00,1022.7,8.6,100
2010-01-08T11:00,8.2,4.8,0.00,0.00,0.00,79,1.8,169,210.00,1022.3,10.1,60
2010-01-08T12:00,9.6,4.4,0.00,0.00,0.00,71,3.3,167,455.00,1021.5,13.0,34
2010-01-08T13:00,10.4,4.2,0.00,0.00,0.00,66,5.8,150,625.00,1019.2,14.4,56
2010-01-08T14:00,10.6,4.1,0.00,0.00,0.00,64,5.4,132,680.00,1017.4,14.0,41
2010-01-08T15:00,9.4,3.7,0.00,0.00,0.00,68,5.4,110,720.00,1015.7,14.4,46
2010-01-08T16:00,9.6,3.8,0.00,0.00,0.00,67,5.4,86,710.00,1015.3,14.0,55
2010-01-08T17:00,9.4,3.8,0.00,0.00,0.00,68,6.4,74,710.00,1015.1,13.3,61
2010-01-08T18:00,8.9,4.0,0.00,0.00,0.00,71,8.0,350,220.00,1015.6,12.6,57
2010-01-08T19:00,8.2,4.2,0.00,0.00,0.00,76,8.3,355,160.00,1016.5,15.8,51
2010-01-08T20:00,7.7,4.3,0.00,0.00,0.00,80,6.8,360,115.00,1016.1,17.6,47
2010-01-08T21:00,7.2,4.4,0.00,0.00,0.00,82,4.8,347,65.00,1016.9,19.4,44
2010-01-08T22:00,7.1,4.4,0.00,0.00,0.00,83,5.9,349,55.00,1017.3,20.5,51
2010-01-08T23:00,6.9,4.4,0.00,0.00,0.00,84,7.6,357,75.00,1017.8,20.5,51
2010-01-09T00:00,6.8,4.3,0.00,0.00,0.00,85,7.2,3,80.00,1018.0,20.5,50
2010-01-09T01:00,6.7,4.2,0.00,0.00,0.00,84,7.6,3,95.00,1018.1,19.1,45
2010-01-09T02:00,6.6,4.2,0.00,0.00,0.00,85,6.2,353,80.00,1017.8,16.9,35
2010-01-09T03:00,5.2,3.9,0.00,0.00,0.00,91,4.0,333,45.00,1017.3,11.2,31
2010-01-09T04:00,5.2,3.9,0.00,0.00,0.00,92,4.6,309,45.00,1016.8,11.2,39
2010-01-09T05:00,4.8,4.0,0.00,0.00,0.00,94,4.6,288,45.00,1016.4,10.8,43
2010-01-09T06:00,3.8,3.5,0.00,0.00,0.00,98,5.6,285,60.00,1015.5,9.4,88
2010-01-09T07:00,4.2,3.8,0.00,0.00,0.00,98,4.0,270,45.00,1016.6,10.8,95
2010-01-09T08:00,3.5,3.2,0.00,0.00,0.00,99,4.9,253,55.00,1016.2,11.2,93
2010-01-09T09:00,4.2,3.8,0.00,0.00,0.00,97,6.3,257,70.00,1016.9,14.4,53
2010-01-09T10:00,6.7,4.6,0.00,0.00,0.00,86,5.5,259,130.00,1017.0,16.2,34
2010-01-09T11:00,9.2,4.4,0.00,0.00,0.00,72,5.1,274,245.00,1017.6,18.7,27
2010-01-09T12:00,10.4,3.8,0.00,0.00,0.00,63,3.4,302,475.00,1016.7,19.1,22
2010-01-09T13:00,11.4,3.6,0.00,0.00,0.00,59,2.6,344,685.00,1015.3,16.2,25
2010-01-09T14:00,12.1,3.5,0.00,0.00,0.00,55,4.6,45,890.00,1013.9,14.4,34
2010-01-09T15:00,11.9,3.2,0.00,0.00,0.00,55,7.2,53,1050.00,1013.2,18.0,39
2010-01-09T16:00,12.1,3.1,0.00,0.00,0.00,54,10.3,54,1215.00,1013.4,19.8,70
2010-01-09T17:00,11.9,3.1,0.00,0.00,0.00,55,9.4,47,1165.00,1014.6,20.2,77
2010-01-09T18:00,11.2,3.6,0.00,0.00,0.00,59,7.0,339,235.00,1014.9,16.6,72
2010-01-09T19:00,10.4,3.7,0.00,0.00,0.00,63,5.9,313,105.00,1016.4,13.7,66
2010-01-09T20:00,9.6,3.8,0.00,0.00,0.00,67,6.7,306,75.00,1017.8,14.0,57
2010-01-09T21:00,8.9,3.9,0.00,0.00,0.00,71,8.3,304,70.00,1018.3,15.1,56
2010-01-09T22:00,8.4,4.1,0.00,0.00,0.00,74,7.4,299,60.00,1019.2,15.1,49
2010-01-09T23:00,7.9,4.2,0.00,0.00,0.00,77,7.0,291,60.00,1020.0,14.4,35
2010-01-10T00:00,7.3,4.3,0.00,0.00,0.00,81,7.1,285,55.00,1020.6,13.0,58
2010-01-10T01:00,6.7,4.3,0.00,0.00,0.00,85,7.0,282,60.00,1020.6,11.5,56
2010-01-10T02:00,6.3,4.4,0.00,0.00,0.00,88,6.6,279,60.00,1020.6,10.8,56
2010-01-10T03:00,5.8,4.0,0.00,0.00,0.00,88,5.9,281,55.00,1020.7,11.2,54
2010-01-10T04:00,5.4,4.0,0.00,0.00,0.00,90,5.5,281,50.00,1020.2,10.1,40
2010-01-10T05:00,5.4,4.0,0.00,0.00,0.00,91,5.9,281,35.00,1020.5,7.9,39
2010-01-10T06:00,5.8,3.8,0.00,0.00,0.00,87,7.4,313,25.00,1019.0,8.6,40
2010-01-10T07:00,6.2,3.9,0.00,0.00,0.00,85,4.4,325,15.00,1020.0,6.5,45
2010-01-10T08:00,6.1,3.8,0.00,0.00,0.00,85,2.8,320,15.00,1020.8,4.3,35
2010-01-10T09:00,6.5,4.2,0.00,0.00,0.00,85,3.3,347,15.00,1021.6,3.6,36
2010-01-10T10:00,8.7,4.9,0.00,0.00,0.00,77,2.6,344,110.00,1022.0,9.0,40
2010-01-10T11:00,10.6,4.2,0.00,0.00,0.00,65,3.6,6,295.00,1022.9,11.9,35
2010-01-10T12:00,11.3,3.9,0.00,0.00,0.00,60,4.5,14,480.00,1022.8,14.4,58
2010-01-10T13:00,11.4,4.0,0.00,0.00,0.00,60,4.3,24,685.00,1021.4,15.5,69
2010-01-10T14:00,11.7,4.1,0.00,0.00,0.00,60,5.4,42,780.00,1020.2,17.6,70
2010-01-10T15:00,12.1,4.8,0.00,0.00,0.00,61,6.4,43,795.00,1019.3,18.0,64
2010-01-10T16:00,12.0,4.8,0.00,0.00,0.00,61,8.2,41,770.00,1019.2,19.4,66
2010-01-10T17:00,11.4,4.9,0.00,0.00,0.00,65,8.9,32,630.00,1019.9,19.8,70
2010-01-10T18:00,10.4,5.2,0.00,0.00,0.00,70,8.4,10,390.00,1021.5,16.2,100
2010-01-10T19:00,9.9,5.3,0.00,0.00,0.00,73,9.1,18,320.00,1023.0,15.5,96
2010-01-10T20:00,9.3,5.4,0.00,0.00,0.00,77,10.7,12,305.00,1024.3,16.2,93
2010-01-10T21:00,8.9,5.6,0.00,0.00,0.00,80,10.8,2,265.00,1025.3,17.6,96
2010-01-10T22:00,8.6,5.6,0.00,0.00,0.00,81,10.1,356,245.00,1026.6,18.0,99
2010-01-10T23:00,8.4,5.6,0.00,0.00,0.00,82,9.8,354,275.00,1027.6,18.7,100
2010-01-11T00:00,8.1,5.5,0.00,0.00,0.00,84,9.1,353,340.00,1028.0,20.9,100
2010-01-11T01:00,7.8,5.2,0.00,0.00,0.00,84,9.0,358,515.00,1028.0,21.6,97
2010-01-11T02:00,7.6,4.2,0.00,0.00,0.00,79,9.0,2,635.00,1027.8,21.2,100
2010-01-11T03:00,7.7,3.1,0.00,0.00,0.00,73,9.0,360,600.00,1027.9,18.7,100
2010-01-11T04:00,7.4,1.3,0.00,0.00,0.00,65,9.7,4,770.00,1027.6,19.4,100
2010-01-11T05:00,7.3,-0.4,0.00,0.00,0.00,58,9.4,7,705.00,1027.5,19.8,99
2010-01-11T06:00,7.2,-1.6,0.00,0.00,0.00,54,9.0,23,885.00,1027.1,18.7,100
2010-01-11T07:00,6.9,-2.5,0.00,0.00,0.00,51,8.9,14,750.00,1027.7,16.6,95
2010-01-11T08:00,6.8,-3.0,0.00,0.00,0.00,50,7.8,347,335.00,1028.0,13.7,88
2010-01-11T09:00,6.9,-2.5,0.00,0.00,0.00,51,9.0,323,180.00,1028.7,14.0,87
2010-01-11T10:00,7.8,-2.6,0.00,0.00,0.00,48,10.2,328,500.00,1029.7,16.6,73
