latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
31.177504,121.46255,7.0,28800,Asia/Shanghai,GMT+8

time,temperature_2m (°C),rain (mm),snowfall (cm),precipitation (mm),dew_point_2m (°C),relative_humidity_2m (%),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),boundary_layer_height (m)
2010-01-02T18:00,8.1,0.00,0.00,0.00,4.1,76,1019.7,8.0,342,100.00
2010-01-02T19:00,6.8,0.00,0.00,0.00,3.9,82,1020.1,10.6,10,170.00
2010-01-02T20:00,5.8,0.00,0.00,0.00,3.5,85,1020.8,13.4,14,265.00
2010-01-02T21:00,5.1,0.00,0.00,0.00,3.2,88,1021.3,13.5,9,290.00
2010-01-02T22:00,4.6,0.00,0.00,0.00,3.0,90,1021.8,11.9,5,275.00
2010-01-02T23:00,4.5,0.00,0.00,0.00,2.9,90,1021.9,11.5,360,245.00
2010-01-03T00:00,4.4,0.00,0.00,0.00,2.9,90,1021.8,11.9,357,240.00
2010-01-03T01:00,4.4,0.00,0.00,0.00,2.7,89,1021.5,11.9,358,230.00
2010-01-03T02:00,4.5,0.00,0.00,0.00,2.6,87,1021.0,11.2,6,245.00
2010-01-03T03:00,4.2,0.00,0.00,0.00,3.1,92,1020.9,11.4,18,270.00
2010-01-03T04:00,4.4,0.00,0.00,0.00,3.1,91,1020.8,11.9,29,310.00
2010-01-03T05:00,4.6,0.00,0.00,0.00,2.9,89,1020.8,12.2,34,315.00
2010-01-03T06:00,4.8,0.00,0.00,0.00,2.6,86,1020.6,10.1,35,240.00
2010-01-03T07:00,4.8,0.00,0.00,0.00,2.2,83,1021.5,10.0,41,230.00
2010-01-03T08:00,5.8,0.00,0.00,0.00,2.3,78,1021.7,11.5,51,305.00
2010-01-03T09:00,7.4,0.00,0.00,0.00,2.5,71,1022.1,12.6,70,540.00
2010-01-03T10:00,8.8,0.00,0.00,0.00,2.0,62,1021.6,16.2,91,745.00
2010-01-03T11:00,9.7,0.00,0.00,0.00,1.9,58,1021.0,16.4,109,950.00
2010-01-03T12:00,10.2,0.00,0.00,0.00,2.1,57,1019.8,15.6,130,1125.00
2010-01-03T13:00,10.5,0.00,0.00,0.00,2.3,57,1018.8,16.1,140,1170.00
2010-01-03T14:00,10.7,0.00,0.00,0.00,2.4,56,1017.8,17.1,145,1150.00
2010-01-03T15:00,11.2,0.00,0.00,0.00,3.1,57,1017.4,17.4,142,1030.00
2010-01-03T16:00,10.4,0.00,0.00,0.00,3.8,64,1017.1,15.5,138,815.00
2010-01-03T17:00,9.0,0.00,0.00,0.00,4.0,71,1017.1,15.1,140,555.00
2010-01-03T18:00,8.0,0.00,0.00,0.00,4.3,78,1017.3,13.8,147,380.00
2010-01-03T19:00,7.7,0.00,0.00,0.00,4.6,81,1016.9,15.2,149,385.00
2010-01-03T20:00,7.7,0.00,0.00,0.00,5.0,83,1016.7,17.1,155,420.00
2010-01-03T21:00,7.6,0.00,0.00,0.00,5.3,85,1016.2,18.6,162,445.00
2010-01-03T22:00,7.6,0.00,0.00,0.00,5.5,87,1015.9,18.4,168,430.00
2010-01-03T23:00,7.6,0.00,0.00,0.00,5.8,88,1015.4,18.2,172,395.00
2010-01-04T00:00,7.5,0.00,0.00,0.00,5.9,89,1015.1,18.4,178,360.00
2010-01-04T01:00,7.4,0.00,0.00,0.00,5.9,91,1014.5,17.0,186,315.00
2010-01-04T02:00,7.0,0.00,0.00,0.00,5.7,91,1014.4,15.8,192,270.00
2010-01-04T03:00,6.6,0.00,0.00,0.00,5.3,92,1014.1,13.5,205,220.00
2010-01-04T04:00,5.9,0.00,0.00,0.00,4.7,92,1014.0,11.7,225,175.00
2010-01-04T05:00,5.3,0.00,0.00,0.00,4.1,92,1014.1,12.1,247,160.00
2010-01-04T06:00,4.9,0.00,0.00,0.00,3.7,92,1014.4,13.3,267,190.00
2010-01-04T07:00,4.7,0.00,0.00,0.00,3.4,92,1015.3,14.2,279,240.00
2010-01-04T08:00,5.5,0.00,0.00,0.00,4.0,90,1015.9,16.3,292,340.00
2010-01-04T09:00,7.0,0.00,0.00,0.00,4.4,84,1016.7,20.7,311,475.00
2010-01-04T10:00,8.0,0.00,0.00,0.00,4.2,77,1017.7,22.4,323,650.00
2010-01-04T11:00,8.4,0.00,0.00,0.00,3.7,72,1017.9,22.3,329,800.00
2010-01-04T12:00,8.5,0.00,0.00,0.00,2.6,67,1018.0,22.7,331,900.00
2010-01-04T13:00,8.1,0.00,0.00,0.00,1.2,62,1018.3,23.0,335,990.00
2010-01-04T14:00,7.7,0.00,0.00,0.00,-0.4,57,1018.6,23.1,339,1035.00
2010-01-04T15:00,7.2,0.00,0.00,0.00,-1.6,54,1019.2,22.9,341,1065.00
2010-01-04T16:00,6.1,0.00,0.00,0.00,-2.6,54,1020.2,21.2,345,1050.00
2010-01-04T17:00,4.6,0.00,0.00,0.00,-3.1,58,1021.2,19.7,352,1010.00
2010-01-04T18:00,3.2,0.00,0.00,0.00,-3.6,61,1022.2,18.7,359,805.00
2010-01-04T19:00,2.1,0.00,0.00,0.00,-4.1,63,1023.3,19.5,358,805.00
2010-01-04T20:00,1.4,0.00,0.00,0.00,-4.5,65,1024.5,19.6,354,855.00
2010-01-04T21:00,0.9,0.00,0.00,0.00,-5.2,64,1025.0,19.7,352,880.00
2010-01-04T22:00,0.4,0.00,0.00,0.00,-5.3,66,1025.4,18.8,348,880.00
2010-01-04T23:00,0.1,0.00,0.00,0.00,-5.8,65,1025.8,18.3,344,880.00
2010-01-05T00:00,-0.4,0.00,0.00,0.00,-5.9,66,1025.9,18.0,340,860.00
2010-01-05T01:00,-0.7,0.00,0.00,0.00,-6.2,67,1026.5,18.2,335,835.00
2010-01-05T02:00,-1.0,0.00,0.00,0.00,-6.4,67,1026.5,19.0,335,815.00
2010-01-05T03:00,-1.1,0.00,0.00,0.00,-6.9,64,1026.9,18.8,334,815.00
2010-01-05T04:00,-1.2,0.00,0.00,0.00,-6.9,65,1026.7,18.2,335,805.00
2010-01-05T05:00,-1.4,0.00,0.00,0.00,-6.9,66,1026.7,16.6,333,775.00
2010-01-05T06:00,-1.5,0.00,0.00,0.00,-6.8,67,1027.5,16.2,328,730.00
2010-01-05T07:00,-1.6,0.00,0.00,0.00,-6.6,69,1027.3,14.0,325,665.00
2010-01-05T08:00,-1.0,0.00,0.00,0.00,-6.4,67,1027.8,15.0,330,710.00
2010-01-05T09:00,0.1,0.00,0.00,0.00,-6.1,63,1028.0,18.2,346,865.00
2010-01-05T10:00,1.7,0.00,0.00,0.00,-5.9,57,1028.8,19.1,356,1035.00
2010-01-05T11:00,2.7,0.00,0.00,0.00,-5.7,54,1028.5,18.4,357,1100.00
2010-01-05T12:00,3.1,0.00,0.00,0.00,-5.6,53,1027.7,16.6,358,1130.00
2010-01-05T13:00,3.3,0.00,0.00,0.00,-5.7,52,1026.7,16.2,360,1150.00
2010-01-05T14:00,3.2,0.00,0.00,0.00,-5.9,51,1026.0,16.9,2,1155.00
2010-01-05T15:00,2.4,0.00,0.00,0.00,-6.0,54,1025.9,17.0,4,1150.00
2010-01-05T16:00,2.0,0.00,0.00,0.00,-6.3,54,1026.4,16.2,359,1120.00
2010-01-05T17:00,1.5,0.00,0.00,0.00,-6.4,56,1026.5,15.8,360,1070.00
2010-01-05T18:00,1.2,0.00,0.00,0.00,-6.3,57,1027.1,15.2,355,1075.00
2010-01-05T19:00,1.0,0.00,0.00,0.00,-6.1,59,1027.3,15.2,4,1050.00
2010-01-05T20:00,0.9,0.00,0.00,0.00,-5.8,61,1027.3,13.7,5,975.00
2010-01-05T21:00,0.7,0.00,0.00,0.00,-5.4,63,1027.6,12.3,357,945.00
2010-01-05T22:00,0.7,0.00,0.00,0.00,-5.1,65,1027.5,11.5,346,850.00
2010-01-05T23:00,0.6,0.00,0.00,0.00,-4.9,67,1027.3,11.5,340,770.00
2010-01-06T00:00,0.6,0.00,0.00,0.00,-4.7,68,1027.0,11.4,342,745.00
2010-01-06T01:00,0.6,0.00,0.00,0.00,-4.6,68,1026.8,12.3,339,745.00
2010-01-06T02:00,0.5,0.00,0.00,0.00,-4.5,69,1027.3,12.9,330,610.00
2010-01-06T03:00,0.5,0.00,0.00,0.00,-4.7,68,1027.2,14.2,333,610.00
2010-01-06T04:00,0.4,0.00,0.00,0.00,-4.5,70,1027.5,13.9,329,570.00
2010-01-06T05:00,0.2,0.00,0.00,0.00,-4.4,71,1027.5,13.1,328,540.00
2010-01-06T06:00,0.0,0.00,0.00,0.00,-4.3,73,1028.1,14.1,328,515.00
2010-01-06T07:00,0.0,0.00,0.00,0.00,-4.1,74,1028.3,12.9,324,480.00
2010-01-06T08:00,0.5,0.00,0.00,0.00,-4.1,72,1028.4,13.9,329,500.00
2010-01-06T09:00,1.5,0.00,0.00,0.00,-3.9,67,1029.1,15.4,339,635.00
2010-01-06T10:00,2.8,0.00,0.00,0.00,-4.0,61,1029.3,16.6,356,860.00
2010-01-06T11:00,3.8,0.00,0.00,0.00,-4.4,55,1029.1,15.9,357,1040.00
2010-01-06T12:00,4.5,0.00,0.00,0.00,-4.6,52,1028.4,14.8,356,1140.00
2010-01-06T13:00,4.7,0.00,0.00,0.00,-4.7,50,1027.5,14.1,354,1180.00
2010-01-06T14:00,4.7,0.00,0.00,0.00,-5.0,50,1027.1,13.4,354,1185.00
2010-01-06T15:00,4.5,0.00,0.00,0.00,-5.2,50,1027.3,13.7,357,1180.00
2010-01-06T16:00,3.9,0.00,0.00,0.00,-5.5,50,1027.8,14.4,1,1155.00
2010-01-06T17:00,3.0,0.00,0.00,0.00,-5.1,55,1028.3,12.3,7,790.00
2010-01-06T18:00,1.9,0.00,0.00,0.00,-4.6,62,1028.7,11.9,2,425.00
2010-01-06T19:00,1.1,0.00,0.00,0.00,-4.5,66,1029.3,12.3,3,405.00
2010-01-06T20:00,0.4,0.00,0.00,0.00,-4.4,70,1029.7,12.3,3,390.00
2010-01-06T21:00,-0.1,0.00,0.00,0.00,-4.4,73,1030.1,12.3,3,365.00
2010-01-06T22:00,-0.5,0.00,0.00,0.00,-4.4,75,1029.6,11.5,360,345.00
2010-01-06T23:00,-0.8,0.00,0.00,0.00,-4.4,76,1029.7,10.8,356,320.00
2010-01-07T00:00,-1.1,0.00,0.00,0.00,-4.2,79,1029.4,10.2,352,295.00
2010-01-07T01:00,-1.3,0.00,0.00,0.00,-4.2,81,1029.0,10.4,346,275.00
2010-01-07T02:00,-1.6,0.00,0.00,0.00,-4.1,83,1029.0,10.6,342,270.00
2010-01-07T03:00,-1.5,0.00,0.00,0.00,-4.1,83,1029.0,11.3,338,275.00
2010-01-07T04:00,-1.7,0.00,0.00,0.00,-4.1,84,1029.0,10.9,333,260.00
2010-01-07T05:00,-1.8,0.00,0.00,0.00,-4.0,85,1029.3,11.6,330,255.00
2010-01-07T06:00,-1.8,0.00,0.00,0.00,-3.9,85,1030.3,13.0,326,300.00
2010-01-07T07:00,-1.9,0.00,0.00,0.00,-3.9,87,1030.4,12.3,328,290.00
2010-01-07T08:00,-0.9,0.00,0.00,0.00,-3.6,82,1030.3,12.6,329,345.00
2010-01-07T09:00,1.0,0.00,0.00,0.00,-3.5,72,1030.5,13.2,334,545.00
2010-01-07T10:00,2.6,0.00,0.00,0.00,-3.6,64,1031.2,14.3,342,835.00
2010-01-07T11:00,3.5,0.00,0.00,0.00,-4.1,58,1030.6,14.6,350,970.00
2010-01-07T12:00,4.2,0.00,0.00,0.00,-4.0,55,1029.5,13.9,350,1040.00
2010-01-07T13:00,4.7,0.00,0.00,0.00,-3.9,54,1028.6,13.8,353,1090.00
2010-01-07T14:00,4.9,0.00,0.00,0.00,-3.8,53,1027.9,14.5,354,1170.00
2010-01-07T15:00,4.4,0.00,0.00,0.00,-4.3,53,1027.9,15.1,359,1155.00
2010-01-07T16:00,3.7,0.00,0.00,0.00,-4.4,55,1027.9,15.5,1,1110.00
2010-01-07T17:00,2.9,0.00,0.00,0.00,-4.2,60,1028.2,14.5,6,1060.00
2010-01-07T18:00,2.1,0.00,0.00,0.00,-3.9,65,1028.6,12.6,5,650.00
2010-01-07T19:00,1.5,0.00,0.00,0.00,-3.8,68,1028.8,11.5,2,595.00
2010-01-07T20:00,1.2,0.00,0.00,0.00,-3.8,70,1028.7,10.1,356,485.00
2010-01-07T21:00,0.7,0.00,0.00,0.00,-3.6,73,1028.7,9.7,356,405.00
2010-01-07T22:00,0.4,0.00,0.00,0.00,-3.5,75,1028.5,9.1,351,370.00
2010-01-07T23:00,0.3,0.00,0.00,0.00,-3.6,75,1028.3,9.1,342,320.00
2010-01-08T00:00,0.2,0.00,0.00,0.00,-3.6,75,1028.2,9.8,332,315.00
2010-01-08T01:00,0.1,0.00,0.00,0.00,-3.7,75,1027.8,10.0,330,320.00
2010-01-08T02:00,0.0,0.00,0.00,0.00,-3.7,76,1027.4,10.3,331,310.00
2010-01-08T03:00,0.1,0.00,0.00,0.00,-3.6,76,1027.1,11.3,333,335.00
2010-01-08T04:00,0.0,0.00,0.00,0.00,-3.5,77,1026.6,11.2,339,345.00
2010-01-08T05:00,-0.1,0.00,0.00,0.00,-3.4,78,1026.4,11.4,342,350.00
2010-01-08T06:00,-0.0,0.00,0.00,0.00,-3.2,79,1026.8,12.4,334,375.00
2010-01-08T07:00,-0.1,0.00,0.00,0.00,-3.0,81,1027.1,10.4,326,305.00
2010-01-08T08:00,0.2,0.00,0.00,0.00,-2.9,80,1027.6,9.7,321,285.00
2010-01-08T09:00,1.8,0.00,0.00,0.00,-2.8,71,1027.9,10.6,332,425.00
2010-01-08T10:00,3.3,0.00,0.00,0.00,-2.7,65,1028.2,12.1,348,810.00
2010-01-08T11:00,4.2,0.00,0.00,0.00,-2.8,60,1028.0,10.1,2,980.00
2010-01-08T12:00,4.8,0.00,0.00,0.00,-2.9,58,1026.2,6.3,13,985.00
2010-01-08T13:00,5.3,0.00,0.00,0.00,-2.7,56,1025.2,4.2,20,990.00
2010-01-08T14:00,5.7,0.00,0.00,0.00,-2.5,56,1024.5,4.0,27,1055.00
2010-01-08T15:00,5.4,0.00,0.00,0.00,-2.6,56,1024.5,4.5,29,1050.00
2010-01-08T16:00,5.2,0.00,0.00,0.00,-2.8,56,1024.9,4.1,38,975.00
2010-01-08T17:00,4.7,0.00,0.00,0.00,-2.4,60,1024.8,4.2,70,240.00
2010-01-08T18:00,3.8,0.00,0.00,0.00,-1.7,67,1025.5,5.8,68,135.00
2010-01-08T19:00,3.0,0.00,0.00,0.00,-1.4,73,1025.6,6.9,81,130.00
2010-01-08T20:00,2.4,0.00,0.00,0.00,-1.3,77,1025.5,7.2,96,135.00
2010-01-08T21:00,2.1,0.00,0.00,0.00,-1.2,79,1025.6,7.6,109,135.00
2010-01-08T22:00,1.4,0.00,0.00,0.00,-1.3,82,1025.4,6.8,122,120.00
2010-01-08T23:00,0.8,0.00,0.00,0.00,-1.4,85,1025.5,6.6,131,110.00
2010-01-09T00:00,0.3,0.00,0.00,0.00,-1.7,86,1025.3,6.9,137,100.00
2010-01-09T01:00,0.1,0.00,0.00,0.00,-1.9,86,1025.0,6.9,141,90.00
2010-01-09T02:00,-0.1,0.00,0.00,0.00,-2.1,87,1024.7,7.9,141,80.00
2010-01-09T03:00,-0.4,0.00,0.00,0.00,-2.0,89,1024.2,8.2,139,80.00
2010-01-09T04:00,-0.5,0.00,0.00,0.00,-2.0,90,1023.5,8.2,139,85.00
2010-01-09T05:00,-0.5,0.00,0.00,0.00,-1.9,90,1023.0,8.2,139,85.00
2010-01-09T06:00,-0.5,0.00,0.00,0.00,-1.8,91,1023.2,9.1,146,80.00
2010-01-09T07:00,-0.3,0.00,0.00,0.00,-1.6,91,1023.5,10.0,154,70.00
2010-01-09T08:00,1.6,0.00,0.00,0.00,0.3,91,1023.9,6.8,162,75.00
2010-01-09T09:00,6.0,0.00,0.00,0.00,3.1,82,1024.0,6.5,161,420.00
2010-01-09T10:00,8.1,0.00,0.00,0.00,3.4,72,1024.2,9.0,164,590.00
2010-01-09T11:00,9.5,0.00,0.00,0.00,3.7,67,1024.0,9.4,176,715.00
2010-01-09T12:00,10.5,0.00,0.00,0.00,3.7,63,1023.4,9.8,188,880.00
2010-01-09T13:00,11.4,0.00,0.00,0.00,3.4,58,1022.1,8.8,189,940.00
2010-01-09T14:00,11.6,0.00,0.00,0.00,3.5,58,1021.3,7.6,177,985.00
2010-01-09T15:00,11.2,0.00,0.00,0.00,3.4,59,1021.4,5.5,157,785.00
2010-01-09T16:00,10.7,0.00,0.00,0.00,3.6,61,1022.1,3.7,119,505.00
2010-01-09T17:00,9.2,0.00,0.00,0.00,4.2,71,1022.9,6.4,74,80.00
2010-01-09T18:00,7.3,0.00,0.00,0.00,4.4,82,1023.9,9.8,62,120.00
2010-01-09T19:00,6.2,0.00,0.00,0.00,4.3,88,1024.5,11.6,54,190.00
2010-01-09T20:00,5.9,0.00,0.00,0.00,4.4,90,1025.0,12.5,49,235.00
2010-01-09T21:00,5.5,0.00,0.00,0.00,4.2,91,1025.2,13.0,48,255.00
2010-01-09T22:00,5.5,0.00,0.00,0.00,4.2,92,1025.6,12.5,49,255.00
2010-01-09T23:00,5.3,0.00,0.00,0.00,4.1,92,1025.4,11.8,50,250.00
2010-01-10T00:00,5.3,0.00,0.00,0.00,4.2,93,1025.0,12.0,51,255.00
2010-01-10T01:00,5.2,0.00,0.00,0.00,4.1,93,1024.5,12.5,51,270.00
2010-01-10T02:00,5.5,0.00,0.00,0.00,4.4,93,1024.3,12.5,46,245.00
2010-01-10T03:00,5.6,0.00,0.00,0.00,4.4,92,1024.0,13.0,39,230.00
2010-01-10T04:00,5.8,0.00,0.00,0.00,4.5,92,1023.8,13.2,35,230.00
2010-01-10T05:00,5.8,0.00,0.00,0.00,4.6,92,1023.5,13.2,35,235.00
2010-01-10T06:00,6.3,0.00,0.00,0.00,4.8,90,1023.8,14.7,28,280.00
2010-01-10T07:00,6.7,0.00,0.00,0.00,5.0,89,1023.9,14.9,32,305.00
2010-01-10T08:00,7.2,0.00,0.00,0.00,5.4,88,1023.8,14.6,38,310.00
2010-01-10T09:00,7.8,0.00,0.00,0.00,6.0,88,1023.9,14.4,37,315.00
2010-01-10T10:00,8.2,0.30,0.00,0.30,6.5,89,1023.9,14.4,32,320.00
2010-01-10T11:00,8.3,0.50,0.00,0.50,7.1,92,1023.8,14.8,29,335.00
2010-01-10T12:00,8.2,0.60,0.00,0.60,7.1,93,1023.2,15.3,27,355.00
2010-01-10T13:00,8.0,0.80,0.00,0.80,6.9,93,1022.3,15.8,24,345.00
2010-01-10T14:00,7.7,0.80,0.00,0.80,6.6,93,1021.8,15.8,24,350.00
2010-01-10T15:00,7.4,1.30,0.00,1.30,6.3,92,1021.8,15.7,20,350.00
2010-01-10T16:00,7.2,1.30,0.00,1.30,6.1,92,1022.1,15.6,19,370.00
2010-01-10T17:00,7.1,1.20,0.00,1.20,6.0,93,1022.4,16.7,19,410.00
2010-01-10T18:00,7.0,0.80,0.00,0.80,5.9,93,1023.4,17.2,16,455.00
2010-01-10T19:00,6.9,0.50,0.00,0.50,5.8,93,1023.7,19.1,16,515.00
2010-01-10T20:00,6.8,0.20,0.00,0.20,5.6,92,1024.5,20.3,17,555.00
2010-01-10T21:00,6.7,0.20,0.00,0.20,5.4,92,1025.3,21.1,14,600.00
2010-01-10T22:00,6.5,0.20,0.00,0.20,5.2,91,1025.5,20.4,14,615.00
2010-01-10T23:00,6.3,0.00,0.00,0.00,4.9,91,1025.1,18.2,18,570.00
2010-01-11T00:00,6.2,0.00,0.00,0.00,4.7,90,1024.9,16.5,16,535.00
2010-01-11T01:00,6.1,0.00,0.00,0.00,4.6,90,1024.8,16.8,9,540.00
2010-01-11T02:00,6.0,0.00,0.00,0.00,4.5,90,1024.7,17.7,5,585.00
2010-01-11T03:00,5.3,0.00,0.00,0.00,3.5,88,1024.6,18.4,3,625.00
2010-01-11T04:00,5.0,0.20,0.00,0.20,3.2,88,1024.5,19.8,2,675.00
2010-01-11T05:00,4.4,0.20,0.00,0.20,2.9,90,1024.9,22.7,1,720.00
2010-01-11T06:00,3.8,0.20,0.00,0.20,2.1,89,1025.3,24.2,356,775.00
2010-01-11T07:00,3.3,0.20,0.00,0.20,1.7,89,1026.0,21.3,355,725.00
2010-01-11T08:00,3.1,0.20,0.00,0.20,1.5,90,1026.0,16.3,354,600.00
2010-01-11T09:00,3.1,0.40,0.00,0.40,1.3,88,1026.4,14.4,347,540.00
2010-01-11T10:00,3.2,0.30,0.00,0.30,1.6,89,1026.8,17.0,343,585.00
2010-01-11T11:00,3.6,0.10,0.00,0.10,1.2,84,1027.2,22.3,337,720.00
2010-01-11T12:00,3.8,0.20,0.00,0.20,0.9,81,1026.9,21.1,333,790.00
2010-01-11T13:00,4.0,0.20,0.00,0.20,0.7,79,1026.2,22.9,338,745.00
2010-01-11T14:00,3.9,0.10,0.00,0.10,0.4,78,1026.0,23.1,342,780.00
2010-01-11T15:00,2.5,0.10,0.00,0.10,0.5,86,1026.0,22.2,340,865.00
2010-01-11T16:00,2.5,0.00,0.00,0.00,-0.1,83,1026.2,19.8,341,915.00
2010-01-11T17:00,2.3,0.00,0.00,0.00,-0.5,82,1026.4,19.1,340,940.00
2010-01-11T18:00,2.0,0.00,0.00,0.00,-0.8,82,1027.5,18.5,333,950.00
2010-01-11T19:00,2.0,0.00,0.00,0.00,-1.3,79,1028.1,19.5,332,1020.00
2010-01-11T20:00,1.9,0.00,0.00,0.00,-1.9,76,1028.4,19.3,333,995.00
2010-01-11T21:00,1.7,0.00,0.00,0.00,-2.4,74,1028.2,19.6,334,980.00
2010-01-11T22:00,1.6,0.00,0.00,0.00,-2.6,74,1028.5,18.7,326,925.00
2010-01-11T23:00,1.4,0.00,0.00,0.00,-2.9,73,1028.8,19.6,319,900.00
2010-01-12T00:00,1.2,0.00,0.00,0.00,-3.2,72,1028.5,21.2,318,880.00
2010-01-12T01:00,0.9,0.00,0.00,0.00,-3.5,72,1028.2,21.4,318,850.00
2010-01-12T02:00,0.7,0.00,0.00,0.00,-3.8,72,1027.7,20.9,316,815.00
2010-01-12T03:00,-0.2,0.00,0.00,0.00,-5.0,70,1027.7,20.6,316,780.00
2010-01-12T04:00,-0.7,0.00,0.00,0.00,-5.4,71,1027.5,20.1,314,715.00
2010-01-12T05:00,-1.5,0.00,0.00,0.00,-5.7,73,1027.5,17.8,313,575.00
2010-01-12T06:00,-1.9,0.00,0.00,0.00,-6.1,73,1027.3,17.0,306,495.00
2010-01-12T07:00,-2.5,0.00,0.00,0.00,-6.5,74,1028.1,16.9,299,415.00
2010-01-12T08:00,-2.0,0.00,0.00,0.00,-7.0,68,1028.6,17.6,301,435.00
2010-01-12T09:00,-0.8,0.00,0.00,0.00,-7.0,63,1028.6,18.1,305,515.00
2010-01-12T10:00,0.8,0.00,0.00,0.00,-6.6,58,1028.7,17.5,307,630.00
2010-01-12T11:00,2.1,0.00,0.00,0.00,-6.8,52,1027.6,15.5,306,760.00
2010-01-12T12:00,3.2,0.00,0.00,0.00,-8.1,43,1025.7,14.2,297,880.00
2010-01-12T13:00,4.1,0.00,0.00,0.00,-9.2,37,1024.3,14.3,288,1015.00
2010-01-12T14:00,4.6,0.00,0.00,0.00,-9.7,35,1023.2,15.6,277,1090.00
